30361,0,0.76,15.1,510.3,386.5,4.5,96.4,34,4,18.2,0.08,7.8,270
30461,0.25,0.22,10.7,368.6,167.4,1.7,96.5,73,10,12.7,0.066,4.4,290
30561,0,0.3,12.4,139.4,437,2.8,97.2,63,3,14.1,0.063,0.7,0
30661,0,0.6,13.6,447.1,495,4.4,97.2,46,2,15.9,0.029,6.8,240
30761,0,0.62,13.2,257.9,538.1,4.3,98.1,26,0,15.8,0.03,3.2,270
30861,0,0.76,15,308.1,550.6,5.2,98.3,19,0,18.6,0.029,4,50
30961,0,0.83,19.5,281.6,464,5.3,97.6,16,4,22.4,0.051,2.9,90
31061,0,0.81,17.8,278.9,542.5,5.5,97.1,20,1,21.1,0.028,3.4,140
31161,0,0.81,17.2,292.3,547.1,5.4,97.4,20,0,20.3,0.027,4.5,280
31261,0,0.73,16.8,259.3,541.8,4.9,97.7,25,2,20.4,0.059,3.3,140
31361,0,0.79,17.6,282.6,550.1,5.1,97.5,22,0,21.9,0.031,2.5,290
31461,0,0.78,18.8,264.4,518.5,5.1,97.4,22,1,22.4,0.194,3,140
31561,0,1.02,18.2,586.1,505.6,7,97,22,4,21.8,0.03,5.7,250
31661,0,0.71,13.5,398.3,540,4.8,97.4,34,2,15.3,0.045,4.1,290
31761,0,0.77,14.7,450.8,529.9,5.4,97.2,31,2,17.1,0.032,3.6,110
31861,0,0.7,13.8,477.3,374.5,4.6,97.1,25,7,15.1,0.069,6,290
31961,0,0.66,13.6,276.8,590.1,4.9,98,30,0,17.1,0.032,3.7,290
32061,0,0.76,15.1,318.4,582.2,5.3,97.8,25,1,19,0.032,3.3,125
32161,0,0.83,17.6,307.2,590.1,5.7,97.4,23,0,21.7,0.032,3.6,140
32261,0,0.86,19,295.1,593.2,5.8,97.4,26,0,23.2,0.032,3.1,140
32361,0,0.81,19.7,338.3,461.3,5.6,96.9,24,4,23.5,0.03,3.6,140
32461,0,0.93,18.6,510.8,489.4,6.4,96.6,30,5,21,0.088,7.2,270
32561,0,0.83,16.9,609.3,409.3,5.6,97,37,9,18.3,0.079,7.3,250
32661,0,0.7,14.4,240.7,604,5.1,97.7,28,1,16.5,0.032,0.7,0
32761,0,0.79,15.2,391.8,572.8,5.3,97.1,29,2,17.6,0.093,5.1,270
32861,0.43,0.51,15.1,354.6,391.4,3.7,96.7,42,7,17.4,0.177,6,320
32961,0.15,0.29,10.9,512.6,317.4,2.3,97.1,68,9,11.9,0.076,6.6,140
33061,0.2,0.42,12,331.8,527.5,3.5,97.6,64,5,13.7,0.034,3.6,140
33161,0,0.64,15,306.3,623.5,4.7,97.6,44,0,18.2,0.035,3.5,140
40161,0,0.83,19.4,277.9,630.3,6,97.3,34,1,22.4,0.034,2,140
40261,0,0.91,21.2,242.1,605.8,6,97.7,22,1,24.5,0.081,3,280
40361,0,0.96,23.6,202.6,642.5,6.3,97.5,21,0,28.3,0.035,1.8,0
40461,0,1.2,25.5,389,632.1,8,96.7,23,0,29.4,0.039,5,270
40561,0,1.07,23.3,415.5,582.1,7.1,96.8,30,2,25.5,0.054,5.1,290
40661,0,1,22.8,369.5,620.2,6.6,97.1,33,1,24.9,0.046,3.4,140
40761,0,0.93,18.9,606.5,520.4,5.9,96.9,40,6,20.8,0.082,8.2,260
40861,0,1.05,18.4,441.1,659.2,6.7,97.7,22,0,21,0.036,5,320
40961,0,0.99,18.5,311.9,668.9,6.5,97.2,17,0,22.4,0.037,4.4,140
41061,0,1.27,18.8,594.4,651.1,8.1,96.7,17,1,22.3,0.036,8.8,270
41161,0,1.1,19.1,376,675.2,7.1,97.6,16,0,21.9,0.036,3.8,280
41261,0,1.19,21,410.4,675.8,8,97.2,17,0,24.7,0.037,3.5,140
41361,0,1.28,20.5,514,666.1,7.9,96.8,21,0,22.2,0.037,5.6,270
41461,0,1.19,20.1,444.3,677.6,8,97.1,18,0,23.8,0.035,6.1,280
41561,0,1.18,21.1,330.9,696,7.5,97.7,11,0,24.7,0.035,4.2,70
41661,0,1.1,22.4,270,684,7.2,97.2,14,0,27.2,0.035,3,140
41761,0,1.23,24.6,321.6,682.1,7.8,97,15,0,29.4,0.036,3.8,140
41861,0,1.47,26.5,510.3,628.4,9.7,97,15,2,29.4,0.079,7,230
41961,0,1.28,25.2,506.6,590.6,8.2,96.9,28,3,27.3,0.051,6.7,250
42061,0,1.17,22,390.9,662.6,7.5,97.3,23,1,23.4,0.038,5.9,270
42161,0,1.18,20.9,343.9,716.8,7.7,97.4,16,0,23.7,0.038,4.7,280
42261,0,1.22,20.9,410.8,707.2,8.1,97.5,19,0,23.6,0.038,6.6,270
42361,0,1.23,20.4,438.7,714.3,8,97.2,22,0,22.1,0.039,4.6,290
42461,0,1.25,17.5,541.4,712.6,7.5,97.5,17,0,18.6,0.039,5.7,280
42561,0,1.12,17.1,414.6,725.1,7.3,97.3,17,0,19.9,0.039,4.8,270
42661,0,1.07,18.9,288.6,724.6,7,97.6,15,0,21.6,0.039,3.6,230
42761,0,1.1,20.3,290.9,723.2,7.1,97.7,16,0,24,0.04,2.9,140
42861,0,1.13,22.4,259.8,716.1,7.1,97.7,16,1,26.2,0.04,3.3,140
42961,0,1.34,23.9,362.5,739.3,8.7,97.4,14,0,27.9,0.04,4.6,250
43061,0,1.34,24.6,340.2,736.5,8.6,97.2,13,0,28.4,0.039,5.3,290
50161,0,1.3,25.9,292.8,723.2,8.2,97.1,15,1,29.8,0.037,3,140
50261,0,1.42,25.9,378.8,732,9,96.8,15,0,28.9,0.038,4.9,290
50361,0,1.55,24.4,560.5,722.5,9.7,96.4,17,0,27,0.041,9.2,250
50461,0,1.25,20.9,508,708.6,8,96.8,26,1,22.8,0.041,7.4,270
50561,0,1.12,20.5,389,695.4,7.4,97.2,26,0,22.4,0.157,5,270
50661,0,1.3,21,477.8,720.6,8.5,97.2,19,0,23.8,0.085,6.7,270
50761,0,1.35,20.8,552.1,717.4,8.1,97.6,23,0,22.1,0.085,6.4,270
50861,0,1.13,22.7,249.6,735.3,7.4,97.8,19,0,26,0.042,4,270
50961,0,1.27,27.7,216.1,728.2,7.6,97.3,15,1,31.3,0.061,3.2,110
51061,0,1.38,28.1,350.4,655.4,8.7,97.1,13,2,31.6,0.095,3.1,110
51161,0,1.45,27.4,424.8,632.7,9.4,97.1,13,3,30,0.089,3,110
51261,0,1.76,21.9,785.9,734.7,10.5,96.9,14,1,23.2,0.04,8.8,270
51361,0,1.35,20.3,525.6,745.1,8.3,97.5,20,0,22.3,0.087,7.4,270
51461,0,1.19,22.4,286.3,751.2,7.6,97.5,17,0,25.6,0.042,3.5,320
51561,0,1.35,24.5,350.4,746.8,8.4,96.9,15,0,27.8,0.063,4,180
51661,0,1.33,25.4,297.9,752,8.3,96.9,14,0,28,0.083,2.8,140
51761,0,1.45,26.1,402.5,720.7,9.2,97.1,15,1,28.8,0.063,4,140
51861,0,1.43,26.7,340.7,757.3,8.8,97.2,15,0,29.9,0.043,3.6,110
51961,0,1.53,27.5,435.5,707,9.7,97.2,14,1,30.6,0.088,4.8,150
52061,0,1.36,24.6,346.2,759.2,8.4,97.5,16,0,27.3,0.044,4.3,290
52161,0,1.35,25.5,324.4,756.2,8.5,97.4,16,1,28.9,0.043,4,290
52261,0,1.45,26.7,360.7,754.1,9.2,97.1,15,0,30.1,0.064,5.1,280
52361,0,1.45,26.8,330.9,761.7,8.9,97,14,0,29.9,0.044,4,320
52461,0,1.44,26.3,333.7,764.2,9,97,13,0,29.9,0.044,4.9,290
52561,0,1.56,27.6,417.8,745.1,10,97.2,14,1,30.7,0.042,4.1,140
52661,0,1.17,27.6,287.7,553.6,7.5,97.3,15,4,29.8,0.249,1.4,0
52761,0,1.51,28.3,356,753.7,9.5,97,15,0,31.3,0.091,5.4,290
52861,0,1.58,26.9,503.8,692.8,10.1,97.3,15,3,29.9,0.053,4.8,125
52961,0,0.86,24.3,293.7,371,5.5,97.6,20,8,26.8,0.135,5.1,270
53061,0,1.28,25.2,283,767.2,8.1,97.4,20,0,27.8,0.044,3.6,305
53161,0,1.49,26.4,383.9,772.8,9.2,97.1,16,0,29.3,0.045,4.4,230
60161,0,1.52,24.6,465.2,774,9.6,97.3,17,0,26.9,0.045,5.8,290
60261,0,1.29,24.7,292.8,764.9,8.1,97.3,19,0,26.9,0.066,2.7,90
60361,0,1.34,25.5,314.2,760.4,8.3,97.3,16,1,28.3,0.066,4.2,290
60461,0,1.35,27.1,286.8,755.8,8.4,97.1,17,0,30.4,0.093,3.8,320
60561,0,1.39,28.4,280.2,759.5,8.5,97,20,0,31.1,0.044,3,140
60661,0,1.39,29.1,300.2,715,8.6,97.1,17,3,31.9,0.117,3.4,110
60761,0,1.47,29.4,293.3,761.7,8.9,97.1,15,0,32.2,0.093,3.6,90
60861,0,1.58,30.2,350,756.7,9.7,96.9,15,0,32.8,0.093,3.9,290
60961,0,1.55,30,327.7,763.2,9.5,96.7,14,0,33,0.094,3.7,110
61061,0,1.56,30.6,352.3,730,9.6,96.6,15,0,33.3,0.21,4.3,290
61161,0,1.47,30.6,261.2,754.9,8.8,96.6,15,0,33.4,0.113,3.9,320
61261,0,1.44,30.4,317,688.3,9,96.9,15,1,33.7,0.144,4.9,320
61361,0,1.64,32.4,347.2,751.2,10.2,96.9,13,0,36.1,0.138,4.8,290
61461,0,1.71,34.3,325.8,756.4,10.2,96.7,14,0,37.6,0.092,3.8,270
61561,0,1.73,34.7,357.4,732.2,10.4,96.7,13,0,38.3,0.177,3.8,140
61661,0,1.82,33.9,530.8,732.1,11.2,97.1,24,1,35.8,0.144,5.7,140
61761,0,1.68,33.2,495.9,691.6,10.8,97.2,24,3,35.8,0.18,5,110
61861,0,1.54,33.6,375.1,694.2,9.9,97.1,24,1,36.7,0.278,2.8,140
61961,0,1.64,34.9,374.1,721.1,10.3,96.9,24,0,37.5,0.178,5.6,290
62061,0,1.74,35.2,427.6,716,10.9,96.8,21,1,37.7,0.139,6,270
62161,0,1.54,34.5,302.6,723,9.3,97,22,0,36.8,0.214,3.1,270
62261,0,1.71,36.2,386.2,725,10.6,97,22,1,38.5,0.178,5.8,270
62361,0,1.64,37.4,323.9,686.6,10,97,20,1,39.3,0.273,4.4,290
62461,0,1.86,37.5,506.1,624.9,11.7,97.1,18,5,39.6,0.119,6.7,290
62561,0,1.72,36.4,422.5,669.9,11.2,97,20,4,39.2,0.189,4.9,290
62661,0,1.8,36.2,425.7,706.1,11.4,96.9,18,2,38.7,0.245,6.1,270
62761,0,1.75,34.7,395.5,739.9,10.8,97,18,1,36.8,0.147,5.6,290
